recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-09 12:09:33,FALSE,FALSE,3.65,-5.05,508,Sample note 1 at 2025-12-09 12:09:33,telemetry_20251209_121833.csv
2025-12-09 12:10:33,FALSE,FALSE,8.05,13.31,343,Sample note 2 at 2025-12-09 12:10:33,telemetry_20251209_121833.csv
2025-12-09 12:11:33,FALSE,TRUE,6.54,44.18,464,Sample note 3 at 2025-12-09 12:11:33,telemetry_20251209_121833.csv
2025-12-09 12:12:33,TRUE,FALSE,7.96,78.20,284,Sample note 4 at 2025-12-09 12:12:33,telemetry_20251209_121833.csv
2025-12-09 12:13:33,TRUE,TRUE,5.78,30.83,749,Sample note 5 at 2025-12-09 12:13:33,telemetry_20251209_121833.csv
2025-12-09 12:14:33,FALSE,TRUE,10.54,2.42,726,Sample note 6 at 2025-12-09 12:14:33,telemetry_20251209_121833.csv
2025-12-09 12:15:33,FALSE,TRUE,11.57,58.37,486,Sample note 7 at 2025-12-09 12:15:33,telemetry_20251209_121833.csv
2025-12-09 12:16:33,TRUE,FALSE,3.91,-28.45,322,Sample note 8 at 2025-12-09 12:16:33,telemetry_20251209_121833.csv
2025-12-09 12:17:33,TRUE,FALSE,5.27,14.97,200,Sample note 9 at 2025-12-09 12:17:33,telemetry_20251209_121833.csv
2025-12-09 12:18:33,FALSE,FALSE,7.60,-6.77,50,Sample note 10 at 2025-12-09 12:18:33,telemetry_20251209_121833.csv
