recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-06 00:47:30,FALSE,FALSE,5.81,63.29,414,Sample note 1 at 2025-12-06 00:47:30,telemetry_20251206_005630.csv
2025-12-06 00:48:30,TRUE,TRUE,3.91,-8.90,154,Sample note 2 at 2025-12-06 00:48:30,telemetry_20251206_005630.csv
2025-12-06 00:49:30,FALSE,TRUE,8.90,-27.18,55,Sample note 3 at 2025-12-06 00:49:30,telemetry_20251206_005630.csv
2025-12-06 00:50:30,FALSE,FALSE,11.11,56.73,31,Sample note 4 at 2025-12-06 00:50:30,telemetry_20251206_005630.csv
2025-12-06 00:51:30,FALSE,FALSE,11.75,-5.09,935,Sample note 5 at 2025-12-06 00:51:30,telemetry_20251206_005630.csv
2025-12-06 00:52:30,FALSE,TRUE,10.29,33.50,12,Sample note 6 at 2025-12-06 00:52:30,telemetry_20251206_005630.csv
2025-12-06 00:53:30,TRUE,TRUE,7.54,11.56,486,Sample note 7 at 2025-12-06 00:53:30,telemetry_20251206_005630.csv
2025-12-06 00:54:30,FALSE,TRUE,12.22,59.19,324,Sample note 8 at 2025-12-06 00:54:30,telemetry_20251206_005630.csv
2025-12-06 00:55:30,TRUE,TRUE,7.69,77.04,461,Sample note 9 at 2025-12-06 00:55:30,telemetry_20251206_005630.csv
2025-12-06 00:56:30,FALSE,TRUE,9.32,3.87,327,Sample note 10 at 2025-12-06 00:56:30,telemetry_20251206_005630.csv
