recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-09T21:11:52Z,ИСТИНА,ИСТИНА,3.44,-42.51,117,Sample note 1 at 2025-12-09T21:11:52Z,telemetry_20251209_212052.csv
2025-12-09T21:12:52Z,ЛОЖЬ,ИСТИНА,5.30,-14.42,204,Sample note 2 at 2025-12-09T21:12:52Z,telemetry_20251209_212052.csv
2025-12-09T21:13:52Z,ЛОЖЬ,ЛОЖЬ,12.36,-30.44,677,Sample note 3 at 2025-12-09T21:13:52Z,telemetry_20251209_212052.csv
2025-12-09T21:14:52Z,ЛОЖЬ,ЛОЖЬ,11.63,22.52,253,Sample note 4 at 2025-12-09T21:14:52Z,telemetry_20251209_212052.csv
2025-12-09T21:15:52Z,ИСТИНА,ИСТИНА,3.32,61.52,782,Sample note 5 at 2025-12-09T21:15:52Z,telemetry_20251209_212052.csv
2025-12-09T21:16:52Z,ЛОЖЬ,ИСТИНА,3.20,25.74,915,Sample note 6 at 2025-12-09T21:16:52Z,telemetry_20251209_212052.csv
2025-12-09T21:17:52Z,ЛОЖЬ,ЛОЖЬ,9.20,64.20,264,Sample note 7 at 2025-12-09T21:17:52Z,telemetry_20251209_212052.csv
2025-12-09T21:18:52Z,ИСТИНА,ИСТИНА,3.44,-33.83,704,Sample note 8 at 2025-12-09T21:18:52Z,telemetry_20251209_212052.csv
2025-12-09T21:19:52Z,ЛОЖЬ,ЛОЖЬ,12.24,47.54,480,Sample note 9 at 2025-12-09T21:19:52Z,telemetry_20251209_212052.csv
2025-12-09T21:20:52Z,ИСТИНА,ИСТИНА,11.08,69.53,268,Sample note 10 at 2025-12-09T21:20:52Z,telemetry_20251209_212052.csv
