recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-06 00:27:30,FALSE,FALSE,10.33,11.20,912,Sample note 1 at 2025-12-06 00:27:30,telemetry_20251206_003630.csv
2025-12-06 00:28:30,TRUE,TRUE,9.75,-38.88,835,Sample note 2 at 2025-12-06 00:28:30,telemetry_20251206_003630.csv
2025-12-06 00:29:30,TRUE,FALSE,7.14,39.80,989,Sample note 3 at 2025-12-06 00:29:30,telemetry_20251206_003630.csv
2025-12-06 00:30:30,TRUE,TRUE,5.81,-1.53,622,Sample note 4 at 2025-12-06 00:30:30,telemetry_20251206_003630.csv
2025-12-06 00:31:30,FALSE,TRUE,8.36,-9.71,273,Sample note 5 at 2025-12-06 00:31:30,telemetry_20251206_003630.csv
2025-12-06 00:32:30,FALSE,TRUE,7.39,48.85,156,Sample note 6 at 2025-12-06 00:32:30,telemetry_20251206_003630.csv
2025-12-06 00:33:30,FALSE,FALSE,8.14,37.40,123,Sample note 7 at 2025-12-06 00:33:30,telemetry_20251206_003630.csv
2025-12-06 00:34:30,FALSE,TRUE,8.56,-36.41,458,Sample note 8 at 2025-12-06 00:34:30,telemetry_20251206_003630.csv
2025-12-06 00:35:30,TRUE,TRUE,8.25,11.52,759,Sample note 9 at 2025-12-06 00:35:30,telemetry_20251206_003630.csv
2025-12-06 00:36:30,TRUE,FALSE,11.89,77.90,155,Sample note 10 at 2025-12-06 00:36:30,telemetry_20251206_003630.csv
