recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-09T20:21:27Z,ЛОЖЬ,ИСТИНА,11.38,-6.05,427,Sample note 1 at 2025-12-09T20:21:27Z,telemetry_20251209_203027.csv
2025-12-09T20:22:27Z,ЛОЖЬ,ЛОЖЬ,4.44,2.25,176,Sample note 2 at 2025-12-09T20:22:27Z,telemetry_20251209_203027.csv
2025-12-09T20:23:27Z,ЛОЖЬ,ЛОЖЬ,6.37,61.27,737,Sample note 3 at 2025-12-09T20:23:27Z,telemetry_20251209_203027.csv
2025-12-09T20:24:27Z,ЛОЖЬ,ЛОЖЬ,5.07,62.49,521,Sample note 4 at 2025-12-09T20:24:27Z,telemetry_20251209_203027.csv
2025-12-09T20:25:27Z,ИСТИНА,ИСТИНА,11.68,9.47,620,Sample note 5 at 2025-12-09T20:25:27Z,telemetry_20251209_203027.csv
2025-12-09T20:26:27Z,ЛОЖЬ,ИСТИНА,5.54,-39.57,370,Sample note 6 at 2025-12-09T20:26:27Z,telemetry_20251209_203027.csv
2025-12-09T20:27:27Z,ЛОЖЬ,ИСТИНА,8.32,-32.32,88,Sample note 7 at 2025-12-09T20:27:27Z,telemetry_20251209_203027.csv
2025-12-09T20:28:27Z,ИСТИНА,ЛОЖЬ,6.37,63.84,350,Sample note 8 at 2025-12-09T20:28:27Z,telemetry_20251209_203027.csv
2025-12-09T20:29:27Z,ИСТИНА,ЛОЖЬ,3.53,-27.36,270,Sample note 9 at 2025-12-09T20:29:27Z,telemetry_20251209_203027.csv
2025-12-09T20:30:27Z,ЛОЖЬ,ИСТИНА,10.41,-15.56,23,Sample note 10 at 2025-12-09T20:30:27Z,telemetry_20251209_203027.csv
