recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-06 10:14:56,TRUE,TRUE,4.12,36.44,685,Sample note 1 at 2025-12-06 10:14:56,telemetry_20251206_102356.csv
2025-12-06 10:15:56,FALSE,TRUE,7.49,-12.10,109,Sample note 2 at 2025-12-06 10:15:56,telemetry_20251206_102356.csv
2025-12-06 10:16:56,FALSE,TRUE,4.38,74.42,325,Sample note 3 at 2025-12-06 10:16:56,telemetry_20251206_102356.csv
2025-12-06 10:17:56,FALSE,TRUE,4.19,-43.88,939,Sample note 4 at 2025-12-06 10:17:56,telemetry_20251206_102356.csv
2025-12-06 10:18:56,FALSE,FALSE,7.37,15.89,354,Sample note 5 at 2025-12-06 10:18:56,telemetry_20251206_102356.csv
2025-12-06 10:19:56,TRUE,FALSE,8.88,-13.05,905,Sample note 6 at 2025-12-06 10:19:56,telemetry_20251206_102356.csv
2025-12-06 10:20:56,TRUE,TRUE,9.54,11.73,729,Sample note 7 at 2025-12-06 10:20:56,telemetry_20251206_102356.csv
2025-12-06 10:21:56,FALSE,TRUE,5.22,6.68,977,Sample note 8 at 2025-12-06 10:21:56,telemetry_20251206_102356.csv
2025-12-06 10:22:56,TRUE,FALSE,6.17,-4.57,916,Sample note 9 at 2025-12-06 10:22:56,telemetry_20251206_102356.csv
2025-12-06 10:23:56,FALSE,FALSE,8.07,-38.35,12,Sample note 10 at 2025-12-06 10:23:56,telemetry_20251206_102356.csv
