recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-09T16:22:09Z,ЛОЖЬ,ЛОЖЬ,7.46,38.81,779,Sample note 1 at 2025-12-09T16:22:09Z,telemetry_20251209_163109.csv
2025-12-09T16:23:09Z,ИСТИНА,ИСТИНА,10.42,-47.02,903,Sample note 2 at 2025-12-09T16:23:09Z,telemetry_20251209_163109.csv
2025-12-09T16:24:09Z,ИСТИНА,ЛОЖЬ,8.08,63.09,380,Sample note 3 at 2025-12-09T16:24:09Z,telemetry_20251209_163109.csv
2025-12-09T16:25:09Z,ЛОЖЬ,ИСТИНА,6.13,30.71,366,Sample note 4 at 2025-12-09T16:25:09Z,telemetry_20251209_163109.csv
2025-12-09T16:26:09Z,ИСТИНА,ИСТИНА,5.23,77.27,381,Sample note 5 at 2025-12-09T16:26:09Z,telemetry_20251209_163109.csv
2025-12-09T16:27:09Z,ИСТИНА,ЛОЖЬ,10.15,30.58,923,Sample note 6 at 2025-12-09T16:27:09Z,telemetry_20251209_163109.csv
2025-12-09T16:28:09Z,ЛОЖЬ,ЛОЖЬ,10.54,49.26,395,Sample note 7 at 2025-12-09T16:28:09Z,telemetry_20251209_163109.csv
2025-12-09T16:29:09Z,ИСТИНА,ИСТИНА,10.11,62.33,887,Sample note 8 at 2025-12-09T16:29:09Z,telemetry_20251209_163109.csv
2025-12-09T16:30:09Z,ИСТИНА,ЛОЖЬ,8.27,33.19,145,Sample note 9 at 2025-12-09T16:30:09Z,telemetry_20251209_163109.csv
2025-12-09T16:31:09Z,ИСТИНА,ЛОЖЬ,11.94,44.17,986,Sample note 10 at 2025-12-09T16:31:09Z,telemetry_20251209_163109.csv
