recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-09T21:21:29Z,ИСТИНА,ИСТИНА,9.76,-45.21,7,Sample note 1 at 2025-12-09T21:21:29Z,telemetry_20251209_213029.csv
2025-12-09T21:22:29Z,ИСТИНА,ИСТИНА,4.72,-8.17,741,Sample note 2 at 2025-12-09T21:22:29Z,telemetry_20251209_213029.csv
2025-12-09T21:23:29Z,ЛОЖЬ,ИСТИНА,7.27,67.52,457,Sample note 3 at 2025-12-09T21:23:29Z,telemetry_20251209_213029.csv
2025-12-09T21:24:29Z,ИСТИНА,ИСТИНА,5.30,18.98,269,Sample note 4 at 2025-12-09T21:24:29Z,telemetry_20251209_213029.csv
2025-12-09T21:25:29Z,ИСТИНА,ЛОЖЬ,11.48,52.11,888,Sample note 5 at 2025-12-09T21:25:29Z,telemetry_20251209_213029.csv
2025-12-09T21:26:29Z,ИСТИНА,ЛОЖЬ,5.51,-35.18,801,Sample note 6 at 2025-12-09T21:26:29Z,telemetry_20251209_213029.csv
2025-12-09T21:27:29Z,ИСТИНА,ЛОЖЬ,6.22,-9.66,17,Sample note 7 at 2025-12-09T21:27:29Z,telemetry_20251209_213029.csv
2025-12-09T21:28:29Z,ЛОЖЬ,ЛОЖЬ,8.94,14.87,185,Sample note 8 at 2025-12-09T21:28:29Z,telemetry_20251209_213029.csv
2025-12-09T21:29:29Z,ЛОЖЬ,ЛОЖЬ,9.53,-48.49,258,Sample note 9 at 2025-12-09T21:29:29Z,telemetry_20251209_213029.csv
2025-12-09T21:30:29Z,ИСТИНА,ИСТИНА,7.02,40.04,298,Sample note 10 at 2025-12-09T21:30:29Z,telemetry_20251209_213029.csv
