recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-09T22:53:32Z,ЛОЖЬ,ЛОЖЬ,11.78,41.16,324,Sample note 1 at 2025-12-09T22:53:32Z,telemetry_20251209_230232.csv
2025-12-09T22:54:32Z,ЛОЖЬ,ИСТИНА,3.54,76.46,842,Sample note 2 at 2025-12-09T22:54:32Z,telemetry_20251209_230232.csv
2025-12-09T22:55:32Z,ЛОЖЬ,ИСТИНА,9.29,-25.98,459,Sample note 3 at 2025-12-09T22:55:32Z,telemetry_20251209_230232.csv
2025-12-09T22:56:32Z,ЛОЖЬ,ЛОЖЬ,6.56,16.55,168,Sample note 4 at 2025-12-09T22:56:32Z,telemetry_20251209_230232.csv
2025-12-09T22:57:32Z,ИСТИНА,ИСТИНА,10.87,67.40,956,Sample note 5 at 2025-12-09T22:57:32Z,telemetry_20251209_230232.csv
2025-12-09T22:58:32Z,ЛОЖЬ,ИСТИНА,5.82,5.91,172,Sample note 6 at 2025-12-09T22:58:32Z,telemetry_20251209_230232.csv
2025-12-09T22:59:32Z,ЛОЖЬ,ЛОЖЬ,9.61,11.88,295,Sample note 7 at 2025-12-09T22:59:32Z,telemetry_20251209_230232.csv
2025-12-09T23:00:32Z,ЛОЖЬ,ИСТИНА,6.25,-45.97,727,Sample note 8 at 2025-12-09T23:00:32Z,telemetry_20251209_230232.csv
2025-12-09T23:01:32Z,ЛОЖЬ,ЛОЖЬ,12.19,-9.10,46,Sample note 9 at 2025-12-09T23:01:32Z,telemetry_20251209_230232.csv
2025-12-09T23:02:32Z,ИСТИНА,ЛОЖЬ,10.76,64.66,919,Sample note 10 at 2025-12-09T23:02:32Z,telemetry_20251209_230232.csv
