recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-06 09:55:40,TRUE,FALSE,5.51,63.41,61,Sample note 1 at 2025-12-06 09:55:40,telemetry_20251206_100440.csv
2025-12-06 09:56:40,FALSE,FALSE,9.70,3.15,986,Sample note 2 at 2025-12-06 09:56:40,telemetry_20251206_100440.csv
2025-12-06 09:57:40,FALSE,FALSE,4.02,-6.61,396,Sample note 3 at 2025-12-06 09:57:40,telemetry_20251206_100440.csv
2025-12-06 09:58:40,FALSE,TRUE,4.52,43.77,102,Sample note 4 at 2025-12-06 09:58:40,telemetry_20251206_100440.csv
2025-12-06 09:59:40,FALSE,FALSE,7.54,69.84,194,Sample note 5 at 2025-12-06 09:59:40,telemetry_20251206_100440.csv
2025-12-06 10:00:40,FALSE,FALSE,10.01,-34.04,45,Sample note 6 at 2025-12-06 10:00:40,telemetry_20251206_100440.csv
2025-12-06 10:01:40,FALSE,FALSE,5.26,-32.37,748,Sample note 7 at 2025-12-06 10:01:40,telemetry_20251206_100440.csv
2025-12-06 10:02:40,TRUE,FALSE,4.36,70.15,386,Sample note 8 at 2025-12-06 10:02:40,telemetry_20251206_100440.csv
2025-12-06 10:03:40,FALSE,TRUE,9.64,56.52,553,Sample note 9 at 2025-12-06 10:03:40,telemetry_20251206_100440.csv
2025-12-06 10:04:40,FALSE,TRUE,4.99,53.72,186,Sample note 10 at 2025-12-06 10:04:40,telemetry_20251206_100440.csv
