recorded_at,flag_A,flag_B,voltage,temp,count,note,source_file
2025-12-09T21:26:29Z,ЛОЖЬ,ЛОЖЬ,3.42,19.78,601,Sample note 1 at 2025-12-09T21:26:29Z,telemetry_20251209_213529.csv
2025-12-09T21:27:29Z,ИСТИНА,ИСТИНА,9.25,-14.44,842,Sample note 2 at 2025-12-09T21:27:29Z,telemetry_20251209_213529.csv
2025-12-09T21:28:29Z,ИСТИНА,ЛОЖЬ,5.24,-48.01,257,Sample note 3 at 2025-12-09T21:28:29Z,telemetry_20251209_213529.csv
2025-12-09T21:29:29Z,ИСТИНА,ЛОЖЬ,11.47,45.98,265,Sample note 4 at 2025-12-09T21:29:29Z,telemetry_20251209_213529.csv
2025-12-09T21:30:29Z,ЛОЖЬ,ЛОЖЬ,5.12,-45.45,808,Sample note 5 at 2025-12-09T21:30:29Z,telemetry_20251209_213529.csv
2025-12-09T21:31:29Z,ЛОЖЬ,ИСТИНА,7.26,-30.54,518,Sample note 6 at 2025-12-09T21:31:29Z,telemetry_20251209_213529.csv
2025-12-09T21:32:29Z,ЛОЖЬ,ЛОЖЬ,8.24,-4.59,749,Sample note 7 at 2025-12-09T21:32:29Z,telemetry_20251209_213529.csv
2025-12-09T21:33:29Z,ИСТИНА,ИСТИНА,10.71,-49.63,575,Sample note 8 at 2025-12-09T21:33:29Z,telemetry_20251209_213529.csv
2025-12-09T21:34:29Z,ИСТИНА,ЛОЖЬ,11.33,-23.21,955,Sample note 9 at 2025-12-09T21:34:29Z,telemetry_20251209_213529.csv
2025-12-09T21:35:29Z,ЛОЖЬ,ЛОЖЬ,3.99,70.16,393,Sample note 10 at 2025-12-09T21:35:29Z,telemetry_20251209_213529.csv
